pixel,wavelength_angstrom,velocity_kms,flux
0,1580.371130000001,6.656729789611403e-11,0.9308604473030258
1,1580.385030021109,2.6365028404112696,0.9402088787454668
2,1580.3989301644754,5.273005680677699,0.9480432142379738
3,1580.4128304300975,7.909508521040221,0.95505071037584
4,1580.4267308179783,10.546011361406908,0.96161814284863
5,1580.4406313281188,13.182514201952026,0.9678359277748916
6,1580.4545319605218,15.819017042383878,0.9736119431900649
7,1580.468432715185,18.455519882743523,0.9788000175122666
8,1580.4823335921108,21.092022723005442,0.9832870149759382
9,1580.4962345913025,23.728525563410273,0.9870281494524737
10,1580.5101357127576,26.365028403832557,0.9900455987054111
11,1580.5240369564788,29.001531244146793,0.992410067330563
12,1580.5379383224672,31.638034084526943,0.9942189738681211
13,1580.5518398107256,34.274536925047066,0.9955776899635205
14,1580.5657414212517,36.9110397653819,0.9965860175720425
15,1580.5796431540484,39.54754260550561,0.9973302683046583
16,1580.593545009118,42.18404544599127,0.9978802081018618
17,1580.6074469864586,44.820548286313816,0.9982893353845222
18,1580.621349086073,47.45705112654713,0.9985968632127059
19,1580.635251307962,50.093553967097755,0.9988305469175385
20,1580.6491536521287,52.730056807507076,0.9990098753070403
21,1580.6630561185705,55.366559647782275,0.9991487525613368
22,1580.6769587072902,58.00306248803033,0.9992572223876655
23,1580.6908614182908,60.63956532852449,0.9993425596963889
24,1580.7047642515697,63.27606816887254,0.9994100824708334
25,1580.7186672071298,65.91257100948073,0.99946373620587
26,1580.7325702849723,68.54907384969064,0.9995064613019379
27,1580.7464734850996,71.18557669010806,0.9995403304700782
28,1580.7603768075098,73.82207953054022,0.9995666850498084
29,1580.7742802522055,76.45858237082761,0.9995865967947462
30,1580.7881838191895,79.09508521130972,0.99960128817049
31,1580.8020875084594,81.73158805149431,0.9996121557520414
32,1580.815991320018,84.36809089188704,0.9996205775236455
33,1580.8298952538664,87.00459373209539,0.999627630059253
34,1580.8437993100074,89.64109657265823,0.9996337990549993
35,1580.8577034884388,92.27759941324948,0.9996391632714219
36,1580.8716077891631,94.91410225321043,0.9996437897077388
37,1580.8855122121831,97.55060509387803,0.9996478818432297
38,1580.8994167574967,100.18710793422763,0.9996517373434706
39,1580.9133214251065,102.82361077459825,0.9996555538231706
40,1580.9272262150137,105.46011361479671,0.9996592029638993
41,1580.941131127221,108.0966164551286,0.9996623449401449
42,1580.955036161726,110.73311929566677,0.9996647896987962
43,1580.9689413185317,113.36962213598504,0.9996666116148477
44,1580.9828465976407,116.00612497645545,0.9996677449947621
45,1580.9967519990505,118.64262781688464,0.9996674902478935
46,1581.0106575227644,121.27913065724537,0.9996645358145854
47,1581.024563168783,123.91563349751053,0.9996573602559065
48,1581.0384689371092,126.55213633771935,0.9996443753856205
49,1581.0523748277408,129.18863917821034,0.9996236980194431
50,1581.0662808406805,131.82514201872337,0.9995930062234925
51,1581.080186975931,134.46164485903154,0.9995489590890667
52,1581.09409323349,137.09814769934033,0.9994852712384079
